Titre du livre,Lien du livre,Catégorie,Prix HT,Prix TTC,Disponibilité,Code,Note
Sharp Objects,http://books.toscrape.com/catalogue/sharp-objects_997/index.html,Mystery,£47.82,£47.82,In stock (20 available),e00eb4fd7b871a48,Four
"In a Dark, Dark Wood",http://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,Mystery,£19.63,£19.63,In stock (18 available),19ed25f4641d5efd,One
The Past Never Ends,http://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,Mystery,£56.50,£56.50,In stock (16 available),5ee94540d0749ea0,Four
A Murder in Time,http://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,Mystery,£16.64,£16.64,In stock (16 available),f733e8c19d40ec2e,One
The Murder of Roger Ackroyd (Hercule Poirot #4),http://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,Mystery,£44.10,£44.10,In stock (15 available),c7b5183f4d1d4efe,Four
The Last Mile (Amos Decker #2),http://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html,Mystery,£54.21,£54.21,In stock (14 available),3bc89353f7e3a3cc,Two
That Darkness (Gardiner and Renner #1),http://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html,Mystery,£13.92,£13.92,In stock (14 available),0c7b9cf2b7662b65,One
Tastes Like Fear (DI Marnie Rome #3),http://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html,Mystery,£10.69,£10.69,In stock (14 available),2d1e337aaf341858,One
A Time of Torment (Charlie Parker #14),http://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html,Mystery,£48.35,£48.35,In stock (14 available),4416c474713ec1f5,Five
A Study in Scarlet (Sherlock Holmes #1),http://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html,Mystery,£16.73,£16.73,In stock (14 available),63ee5bc46066a8a8,Two
Poisonous (Max Revere Novels #3),http://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html,Mystery,£26.80,£26.80,In stock (12 available),abdd91e96515a617,Three
Murder at the 42nd Street Library (Raymond Ambler #1),http://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,Mystery,£54.36,£54.36,In stock (12 available),e7fe3bf2768602cf,Four
Most Wanted,http://books.toscrape.com/catalogue/most-wanted_623/index.html,Mystery,£35.28,£35.28,In stock (12 available),c039f5aceb093537,Three
Hide Away (Eve Duncan #20),http://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html,Mystery,£11.84,£11.84,In stock (12 available),bddc6fd036eb6279,One
Boar Island (Anna Pigeon #19),http://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html,Mystery,£59.48,£59.48,In stock (12 available),49b24c6a41b82bd2,Three
The Widow,http://books.toscrape.com/catalogue/the-widow_609/index.html,Mystery,£27.26,£27.26,In stock (11 available),6159d8b187831770,Two
Playing with Fire,http://books.toscrape.com/catalogue/playing-with-fire_602/index.html,Mystery,£13.71,£13.71,In stock (11 available),05a61a3bd8ca4149,Three
What Happened on Beale Street (Secrets of the South Mysteries #2),http://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html,Mystery,£25.37,£25.37,In stock (7 available),9735c969c652dd89,Five
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),http://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html,Mystery,£52.30,£52.30,In stock (7 available),20789fb17b423c4c,Five
Delivering the Truth (Quaker Midwife Mystery #1),http://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html,Mystery,£20.89,£20.89,In stock (7 available),4e980425468708da,Four
The Mysterious Affair at Styles (Hercule Poirot #1),http://books.toscrape.com/catalogue/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html,Mystery,£24.80,£24.80,In stock (6 available),2da5edf8b5776c9a,Four
In the Woods (Dublin Murder Squad #1),http://books.toscrape.com/catalogue/in-the-woods-dublin-murder-squad-1_433/index.html,Mystery,£38.38,£38.38,In stock (6 available),6958de044cb28a84,Two
The Silkworm (Cormoran Strike #2),http://books.toscrape.com/catalogue/the-silkworm-cormoran-strike-2_280/index.html,Mystery,£23.05,£23.05,In stock (3 available),f06039c29b5891fa,Five
The Exiled,http://books.toscrape.com/catalogue/the-exiled_247/index.html,Mystery,£43.45,£43.45,In stock (3 available),dd003e904727281a,Three
The Cuckoo's Calling (Cormoran Strike #1),http://books.toscrape.com/catalogue/the-cuckoos-calling-cormoran-strike-1_239/index.html,Mystery,£19.21,£19.21,In stock (3 available),1be6d3b121865edb,One
Extreme Prey (Lucas Davenport #26),http://books.toscrape.com/catalogue/extreme-prey-lucas-davenport-26_154/index.html,Mystery,£25.40,£25.40,In stock (3 available),588ba85ff11a3263,Three
Career of Evil (Cormoran Strike #3),http://books.toscrape.com/catalogue/career-of-evil-cormoran-strike-3_137/index.html,Mystery,£24.72,£24.72,In stock (3 available),b461cf238506c5b8,Two
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),http://books.toscrape.com/catalogue/the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76/index.html,Mystery,£57.70,£57.70,In stock (1 available),b0913e67d38d5ed5,Four
The Girl You Lost,http://books.toscrape.com/catalogue/the-girl-you-lost_66/index.html,Mystery,£12.29,£12.29,In stock (1 available),4280ac3eab57aa5d,Five
The Girl In The Ice (DCI Erika Foster #1),http://books.toscrape.com/catalogue/the-girl-in-the-ice-dci-erika-foster-1_65/index.html,Mystery,£15.85,£15.85,In stock (1 available),ee61197edb882599,Three
Blood Defense (Samantha Brinkman #1),http://books.toscrape.com/catalogue/blood-defense-samantha-brinkman-1_8/index.html,Mystery,£20.30,£20.30,In stock (1 available),95cdfd514098c38b,Three
1st to Die (Women's Murder Club #1),http://books.toscrape.com/catalogue/1st-to-die-womens-murder-club-1_2/index.html,Mystery,£53.98,£53.98,In stock (1 available),f684a82adc49f011,One
Tipping the Velvet,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,Historical Fiction,£53.74,£53.74,In stock (20 available),90fa61229261140a,One
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,http://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,Historical Fiction,£29.69,£29.69,In stock (16 available),9beb96a2300109d7,Three
A Flight of Arrows (The Pathfinders #2),http://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html,Historical Fiction,£55.53,£55.53,In stock (16 available),3a6fb983e2554023,Five
The House by the Lake,http://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html,Historical Fiction,£36.95,£36.95,In stock (15 available),9287e238d7c3b06e,One
Mrs. Houdini,http://books.toscrape.com/catalogue/mrs-houdini_821/index.html,Historical Fiction,£30.25,£30.25,In stock (15 available),a40723994f715420,Five
The Marriage of Opposites,http://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html,Historical Fiction,£28.08,£28.08,In stock (14 available),52cf2a5933ec5d8f,Four
Glory over Everything: Beyond The Kitchen House,http://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html,Historical Fiction,£45.84,£45.84,In stock (14 available),de4b403cb629a29f,Three
"Love, Lies and Spies",http://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html,Historical Fiction,£20.55,£20.55,In stock (12 available),9546d537fbf99eb6,Two
A Paris Apartment,http://books.toscrape.com/catalogue/a-paris-apartment_612/index.html,Historical Fiction,£39.01,£39.01,In stock (12 available),63343e287971bb0c,Four
Lilac Girls,http://books.toscrape.com/catalogue/lilac-girls_597/index.html,Historical Fiction,£17.28,£17.28,In stock (11 available),bade9943ee01b63f,Two
The Constant Princess (The Tudor Court #1),http://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html,Historical Fiction,£16.62,£16.62,In stock (7 available),24933c712f0bca2f,Three
The Invention of Wings,http://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html,Historical Fiction,£37.34,£37.34,In stock (6 available),e6635f5b0a2c78db,One
World Without End (The Pillars of the Earth #2),http://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html,Historical Fiction,£32.97,£32.97,In stock (5 available),2e5b4ff08a75fd02,Four
The Passion of Dolssa,http://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html,Historical Fiction,£28.32,£28.32,In stock (4 available),011674f4a3834b8d,Five
Girl With a Pearl Earring,http://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html,Historical Fiction,£26.77,£26.77,In stock (4 available),5eff05e59f905a49,One
Voyager (Outlander #3),http://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html,Historical Fiction,£21.07,£21.07,In stock (3 available),7feac4000cbc5859,Five
The Red Tent,http://books.toscrape.com/catalogue/the-red-tent_273/index.html,Historical Fiction,£35.66,£35.66,In stock (3 available),3c456328b04a8ee8,Five
The Last Painting of Sara de Vos,http://books.toscrape.com/catalogue/the-last-painting-of-sara-de-vos_259/index.html,Historical Fiction,£55.55,£55.55,In stock (3 available),476c7972e9b41891,Two
The Guernsey Literary and Potato Peel Pie Society,http://books.toscrape.com/catalogue/the-guernsey-literary-and-potato-peel-pie-society_253/index.html,Historical Fiction,£49.53,£49.53,In stock (3 available),4a0a276409968a73,One
Girl in the Blue Coat,http://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html,Historical Fiction,£46.83,£46.83,In stock (3 available),41fc5dce044f16f5,Two
Between Shades of Gray,http://books.toscrape.com/catalogue/between-shades-of-gray_128/index.html,Historical Fiction,£20.79,£20.79,In stock (3 available),155e42df837ee5ff,Five
While You Were Mine,http://books.toscrape.com/catalogue/while-you-were-mine_97/index.html,Historical Fiction,£41.32,£41.32,In stock (1 available),8ceb5c6aed2c5f8b,Five
The Secret Healer,http://books.toscrape.com/catalogue/the-secret-healer_80/index.html,Historical Fiction,£34.56,£34.56,In stock (1 available),38f776ab9118aed7,Three
Starlark,http://books.toscrape.com/catalogue/starlark_56/index.html,Historical Fiction,£25.83,£25.83,In stock (1 available),e25164e5b3fe208b,Three
Lost Among the Living,http://books.toscrape.com/catalogue/lost-among-the-living_31/index.html,Historical Fiction,£27.70,£27.70,In stock (1 available),d510567580c8be52,Four
A Spy's Devotion (The Regency Spies of London #1),http://books.toscrape.com/catalogue/a-spys-devotion-the-regency-spies-of-london-1_3/index.html,Historical Fiction,£16.97,£16.97,In stock (1 available),19fec36a1dfb4c16,Five
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Sequential Art,£52.29,£52.29,In stock (19 available),3b1c02bac2a429e6,Five
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),http://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,Sequential Art,£16.28,£16.28,In stock (16 available),09555be379ad9253,One
This One Summer,http://books.toscrape.com/catalogue/this-one-summer_947/index.html,Sequential Art,£19.49,£19.49,In stock (16 available),51653ef291ab7ddc,Four
The Nameless City (The Nameless City #1),http://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,Sequential Art,£38.16,£38.16,In stock (16 available),7d385d34d12e60ff,Four
"Saga, Volume 5 (Saga (Collected Editions) #5)",http://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,Sequential Art,£51.04,£51.04,In stock (16 available),53a3d11bb568cc8b,Two
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",http://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,Sequential Art,£50.40,£50.40,In stock (16 available),c82a3e358c773c73,Three
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",http://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,Sequential Art,£13.61,£13.61,In stock (16 available),0fa6dceead7ce47a,Five
"Pop Gun War, Volume 1: Gift",http://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,Sequential Art,£18.97,£18.97,In stock (16 available),e80f8e518b300dfe,One
Patience,http://books.toscrape.com/catalogue/patience_916/index.html,Sequential Art,£10.16,£10.16,In stock (16 available),9429b4d59c537af5,Three
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",http://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,Sequential Art,£15.44,£15.44,In stock (16 available),889139b8e9c4cb36,Four
